House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Garner Fork,Carolyn,Murray,52,Head,Married,Female,Copy,None,Methodist
1,Garner Fork,Kyle,Murray,53,Husband,Married,Male,Immigration officer,None,Methodist
1,Garner Fork,Suzanne,Elliott-Murray,24,Daughter,Single,Female,Merchant navy officer,None,Methodist
2,Garner Fork,Naomi,Archer,34,Head,Single,Female,Merchant navy officer,None,None
2,Garner Fork,Martin,Barnes,36,Partner,Single,Male,Futures trader,None,None
3,Garner Fork,Leanne,Murphy,71,Head,Single,Female,Retired Purchasing manager,None,Catholic
4,Garner Fork,Jemma,Pearson,28,Head,Married,Female,Learning mentor,None,Christian
4,Garner Fork,Joshua,Pearson,30,Husband,Married,Male,"Engineer, biomedical",None,None
4,Garner Fork,Kathryn,Taylor,28,Lodger,Divorced,Female,Public affairs consultant,None,Christian
5,Garner Fork,George,Johnston,82,Head,Widowed,Male,Retired Stage manager,None,Catholic
6,Garner Fork,Harriet,Stone,48,Head,Married,Female,Optometrist,None,None
6,Garner Fork,Jeffrey,Stone-Marsh,51,Husband,Married,Male,Police officer,None,None
6,Garner Fork,Luke,Stone-Marsh,16,Son,NA,Male,Student,None,NA
7,Garner Fork,Carol,Ward,45,Head,Married,Female,Copy,None,None
7,Garner Fork,Joel,Ward,50,Husband,Married,Male,Architectural technologist,None,None
7,Garner Fork,Aaron,Ward,25,Son,Single,Male,"Surveyor, rural practice",None,None
8,Garner Fork,Abdul,Reed,70,Head,Widowed,Male,"Retired Administrator, charities/voluntary organisations",None,None
9,Garner Fork,Lynne,Steele,75,Head,Widowed,Female,"Retired Therapist, music",None,Methodist
10,Garner Fork,Molly,Ward,66,Head,Divorced,Female,Higher education lecturer,None,Christian
11,Garner Fork,Karen,Watts,48,Head,Single,Female,Unemployed,None,Christian
12,Garner Fork,Conor,Joyce,35,Head,Married,Male,Special educational needs teacher,None,Christian
12,Garner Fork,Gail,Joyce,33,Wife,Married,Female,Industrial/product designer,None,Christian
12,Garner Fork,Damien,Mason,23,Lodger,Single,Male,Architectural technologist,None,Methodist
13,Garner Fork,Valerie,Smith,74,Head,Widowed,Female,Retired Personnel officer,None,Christian
14,Garner Fork,Gail,Parker,60,Head,Single,Female,Fish farm manager,None,Christian
15,Garner Fork,Eric,Gray,23,Head,Single,Male,"Therapist, nutritional",None,None
16,Garner Fork,Pamela,Smith,62,Head,Single,Female,Science writer,None,None
17,Garner Fork,Rachael,Webb,38,Head,Single,Female,"Administrator, charities/voluntary organisations",None,None
18,Garner Fork,Amelia,Webb,69,Head,Widowed,Female,Retired Garment/textile technologist,None,Christian
19,Garner Fork,Danielle,Ross,71,Head,Widowed,Female,Retired Industrial/product designer,None,Christian
20,Garner Fork,Elliott,Elliott,71,Head,Single,Male,Retired Amenity horticulturist,None,None
21,Garner Fork,Alice,Phillips,70,Head,Divorced,Female,Retired Hospital doctor,None,Christian
1,Brightloop Lane,Kevin,Davies,21,Head,Single,Male,University Student,None,None
2,Brightloop Lane,Julia,Jones,46,Head,Single,Female,Unemployed,None,None
2,Brightloop Lane,Kayleigh,Jones,15,Daughter,NA,Female,Student,None,NA
3,Brightloop Lane,Jacqueline,Ashton,54,Head,Single,Female,Unemployed,None,Christian
4,Brightloop Lane,Kimberley,Lloyd,73,Head,Widowed,Female,"Retired Social research officer, government",None,None
5,Brightloop Lane,Joe,Brown,74,Head,Single,Male,"Retired Buyer, industrial",None,Christian
6,Brightloop Lane,Harriet,Power,26,Head,Single,Female,Quarry manager,None,None
6,Brightloop Lane,Christine,Norris,44,None,Single,Female,Retail merchandiser,None,Catholic
7,Brightloop Lane,Gregory,Edwards,25,Head,Married,Male,Media planner,None,Muslim
7,Brightloop Lane,Kenneth,Edwards,24,Husband,Married,Male,Occupational hygienist,None,Muslim
8,Brightloop Lane,Andrew,Chan,66,Head,Divorced,Male,Insurance risk surveyor,None,Muslim
1,Beech Lake,Denise,Skinner,35,Head,Divorced,Female,Network engineer,None,Methodist
1,Beech Lake,Rhys,Skinner,12,Son,NA,Male,Student,None,NA
2,Beech Lake,Richard,Birch,66,Head,Married,Male,"Embryologist, clinical",None,None
2,Beech Lake,Ruth,Birch,61,Wife,Married,Female,Animal technologist,None,None
3,Beech Lake,Tony,Morris,19,Head,Single,Male,University Student,None,None
3,Beech Lake,Gail,Horton,18,None,Single,Female,University Student,None,Sikh
3,Beech Lake,Shane,White,19,None,Single,Male,University Student,None,Muslim
4,Beech Lake,Kelly,Wallace,52,Head,Single,Female,Sales promotion account executive,None,Christian
